121 122,	720291.0, 0.9914317, 6.935393E-7
51 122,	762448.0, 0.96831334, 6.7736715E-7
122 516,	836156.0, 0.58491874, 6.8160756E-7
49 51,	697664.0, 0.59210426, 7.519758E-7
49 516,	756934.0, 0.6424064, 7.4859804E-7
8 124,	801613.0, 0.61206126, 6.8975686E-7
122 171,	752142.0, 0.5261482, 6.627887E-7
8 51,	743087.0, 0.5673745, 7.205689E-7
49 124,	753266.0, 0.63929343, 7.204459E-7
8 516,	819487.0, 0.62570876, 7.291402E-7
8 122,	1227876.0, 0.9375289, 6.558325E-7
8 49,	1067926.0, 0.81540114, 6.9202724E-7
49 122,	1115102.0, 0.946382, 6.6202546E-7
122 124,	850323.0, 0.594829, 6.703372E-7
8 171,	723175.0, 0.552171, 6.955696E-7
8 121,	698749.0, 0.5335208, 7.343552E-7
